Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
154,2024-09-10,,09:16:00,81747.33,,,,,2024-09-10,,15:15:00,81926.7,-510.0,,,243.45000000000005,-510.0,Exit Condition Met For Trade
154.1,2024-09-10,Tuesday,12:53:00,57.5,10,CE,83000.0,Buy,2024-09-10,Tuesday,15:15:00,36.9,-206.0,-35.82608695652174,2024-09-13,,,Exit Condition Met For Trade
154.2,2024-09-10,Tuesday,09:47:00,58.9,10,PE,80300.0,Buy,2024-09-10,Tuesday,15:15:00,28.5,-304.0,-51.612903225806456,2024-09-13,,,Exit Condition Met For Trade
155,2024-09-11,,09:16:00,81843.15,,,,,2024-09-11,,15:15:00,81461.63,6.0,,,147.95000000000005,-227.54999999999995,Exit Condition Met For Trade
155.1,2024-09-11,Wednesday,09:40:00,55.05,10,CE,82700.0,Buy,2024-09-11,Wednesday,15:15:00,35.75,-192.99999999999997,-35.05903723887375,2024-09-13,,,Exit Condition Met For Trade
155.2,2024-09-11,Wednesday,09:27:00,59.2,10,PE,80600.0,Buy,2024-09-11,Wednesday,15:15:00,79.1,198.99999999999991,33.61486486486485,2024-09-13,,,Exit Condition Met For Trade
156,2024-09-12,,09:16:00,81849.53,,,,,2024-09-12,,11:27:00,81644.8,544.0,,,544.0,-425.04999999999995,Square Off All Legs due to Target Profit
156.1,2024-09-12,Thursday,09:27:00,61.0,10,CE,82700.0,Buy,2024-09-12,Thursday,11:27:00,40.4,-206.0,-33.77049180327869,2024-09-13,,,Square Off All Legs due to Target Profit
156.2,2024-09-12,Thursday,10:00:00,58.55,10,PE,81000.0,Buy,2024-09-12,Thursday,11:27:00,133.55,750.0000000000001,128.0956447480786,2024-09-13,,,Target Hit
157,2024-09-16,,09:16:00,83024.08,,,,,2024-09-16,,15:15:00,82985.83,-168.5,,,13.950000000000045,-175.04999999999995,Exit Condition Met For Trade
157.1,2024-09-16,Monday,09:46:00,62.6,10,CE,84500.0,Buy,2024-09-16,Monday,15:15:00,45.75,-168.5,-26.916932907348247,2024-09-20,,,Exit Condition Met For Trade
158,2024-09-18,,09:16:00,82987.97,,,,,2024-09-18,,13:41:00,82715.42,788.5,,,788.5,-37.049999999999955,Square Off All Legs due to Target Profit
158.1,2024-09-18,Wednesday,09:23:00,54.05,10,CE,84300.0,Buy,2024-09-18,Wednesday,13:41:00,57.9,38.500000000000014,7.12303422756707,2024-09-20,,,Square Off All Legs due to Target Profit
158.2,2024-09-18,Wednesday,13:03:00,61.55,10,PE,81500.0,Buy,2024-09-18,Wednesday,13:41:00,136.55,750.0000000000001,121.85215272136477,2024-09-20,,,Target Hit
159,2024-09-19,,09:16:00,83485.66,,,,,2024-09-19,,15:15:00,83203.59,-924.5,,,0,-924.5,Exit Condition Met For Trade
159.1,2024-09-19,Thursday,09:22:00,67.4,10,CE,84600.0,Buy,2024-09-19,Thursday,15:15:00,12.2,-552.0,-81.89910979228486,2024-09-20,,,Exit Condition Met For Trade
159.2,2024-09-19,Thursday,11:30:00,62.95,10,PE,82300.0,Buy,2024-09-19,Thursday,15:15:00,25.7,-372.5,-59.17394757744241,2024-09-20,,,Exit Condition Met For Trade
160,2024-09-20,,09:16:00,83556.42,,,,,2024-09-20,,15:15:00,84505.03,750.0,,,750.0,-40.549999999999955,Exit Condition Met For Trade
160.2,2024-09-20,Friday,09:17:00,65.8,10,PE,82900.0,Buy,2024-09-20,Friday,09:21:00,140.8,750.0000000000001,113.98176291793317,2024-09-20,,,Target Hit
161,2024-09-23,,09:16:00,84755.62,,,,,2024-09-23,,15:15:00,84906.06,-172.5,,,186.45000000000005,-194.54999999999995,Exit Condition Met For Trade
161.1,2024-09-23,Monday,09:17:00,73.25,10,CE,86500.0,Buy,2024-09-23,Monday,15:15:00,56.0,-172.5,-23.549488054607508,2024-09-27,,,Exit Condition Met For Trade
162,2024-09-24,,09:16:00,84787.4,,,,,2024-09-24,,15:15:00,84914.98,-355.5,,,0,-355.5,Exit Condition Met For Trade
162.2,2024-09-24,Tuesday,09:17:00,61.2,10,PE,82100.0,Buy,2024-09-24,Tuesday,15:15:00,25.65,-355.50000000000006,-58.08823529411765,2024-09-27,,,Exit Condition Met For Trade
163,2024-09-26,,09:16:00,85181.58,,,,,2024-09-26,,15:15:00,85774.54,750.0,,,750.0,-134.04999999999995,Exit Condition Met For Trade
163.1,2024-09-26,Thursday,09:21:00,61.7,10,CE,86300.0,Buy,2024-09-26,Thursday,14:51:00,136.7,749.9999999999999,121.55591572123173,2024-09-27,,,Target Hit
164,2024-09-30,,09:16:00,85248.62,,,,,2024-09-30,,15:15:00,84321.89,400.0,,,659.95,-0.05000000000001137,Exit Condition Met For Trade
164.2,2024-09-30,Monday,09:38:00,50.0,10,PE,83000.0,Buy,2024-09-30,Monday,15:15:00,90.0,400.0,80.0,2024-10-04,,,Exit Condition Met For Trade
165,2024-10-01,,09:16:00,84590.31,,,,,2024-10-01,,15:15:00,84258.1,-179.5,,,448.45000000000005,-277.54999999999995,Exit Condition Met For Trade
165.2,2024-10-01,Tuesday,09:31:00,67.4,10,PE,83000.0,Buy,2024-10-01,Tuesday,15:15:00,49.45,-179.50000000000003,-26.63204747774481,2024-10-04,,,Exit Condition Met For Trade
166,2024-10-03,,09:16:00,83424.2,,,,,2024-10-03,,13:57:00,82448.6,220.0,,,220.0,-699.55,Square Off All Legs due to Target Profit
166.1,2024-10-03,Thursday,09:30:00,68.6,10,CE,84700.0,Buy,2024-10-03,Thursday,13:57:00,15.6,-529.9999999999999,-77.25947521865889,2024-10-04,,,Square Off All Legs due to Target Profit
166.2,2024-10-03,Thursday,09:17:00,68.55,10,PE,81600.0,Buy,2024-10-03,Thursday,13:57:00,143.55,750.0000000000001,109.40919037199127,2024-10-04,,,Target Hit
167,2024-10-04,,09:16:00,82563.36,,,,,2024-10-04,,10:52:00,82817.98,444.0,,,444.0,-593.05,Square Off All Legs due to Target Profit
167.1,2024-10-04,Friday,10:01:00,61.1,10,CE,83300.0,Buy,2024-10-04,Friday,10:52:00,136.1,750.0,122.74959083469722,2024-10-04,,,Target Hit
