"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"87","2024-05-13"," 09:16:00","2024-05-13"," 15:15:00","","","","","","","20.24","750.00"
"87.1","2024-05-13"," 09:17:00","2024-05-13"," 09:35:00","PE","70800","Buy","10","68.75","143.75","","750.00"
"88","2024-05-15"," 09:16:00","2024-05-15"," 15:15:00","","","","","","","20.37","-200.00"
"88.1","2024-05-15"," 10:09:00","2024-05-15"," 11:02:00","PE","71600","Buy","10","61.50","41.50","","-200.00"
"89","2024-05-16"," 09:16:00","2024-05-16"," 15:15:00","","","","","","","20.36","750.00"
"89.1","2024-05-16"," 09:33:00","2024-05-16"," 11:11:00","PE","72300","Buy","10","63.75","138.75","","750.00"
"90","2024-05-17"," 09:16:00","2024-05-17"," 15:15:00","","","","","","","20.24","-200.00"
"90.1","2024-05-17"," 09:24:00","2024-05-17"," 09:30:00","PE","72700","Buy","10","67.95","47.95","","-200.00"
"91","2024-05-21"," 09:16:00","2024-05-21"," 15:15:00","","","","","","","21.82","-200.00"
"91.1","2024-05-21"," 09:22:00","2024-05-21"," 09:36:00","CE","75800","Buy","10","60.00","40.00","","-200.00"
"92","2024-05-23"," 09:16:00","2024-05-23"," 15:15:00","","","","","","","21.71","750.00"
"92.1","2024-05-23"," 09:17:00","2024-05-23"," 10:22:00","CE","75200","Buy","10","56.10","131.10","","750.00"
"93","2024-05-24"," 09:16:00","2024-05-24"," 15:15:00","","","","","","","21.24","-200.00"
"93.1","2024-05-24"," 09:18:00","2024-05-24"," 09:38:00","CE","76000","Buy","10","61.30","41.30","","-200.00"
"94","2024-05-27"," 09:16:00","2024-05-27"," 15:15:00","","","","","","","22.12","-200.00"
"94.1","2024-05-27"," 11:56:00","2024-05-27"," 14:48:00","CE","77500","Buy","10","68.75","48.75","","-200.00"
"95","2024-05-29"," 09:16:00","2024-05-29"," 15:15:00","","","","","","","23.87","156.50"
"95.1","2024-05-29"," 10:21:00","2024-05-29"," 15:15:00","PE","73500","Buy","10","64.30","79.95","","156.50"
