,Index,Entry Date,Entry Time,Exit Date,Exit Time,Type,Strike,B/S,Qty,Entry Price,Exit Price,Vix,P/L,Open,High,Low,Close,Prev. Close,Change,% Change
63,27.1,2024-01-29,9:18:00,2024-01-29,15:15:00,CE,73500.0,Buy,10.0,81.05,201.75,,1207.0,13.865,15.8475,13.795,15.68,13.865,1.81,13.09
68,30.0,2024-02-02,9:16:00,2024-02-02,15:15:00,,,,,,,14.05,3500.0,14.455,15.1325,14.025,14.6975,14.455,0.24,1.68
69,30.1,2024-02-02,9:20:00,2024-02-02,11:32:00,CE,72700.0,Buy,10.0,67.5,417.5,,3500.0,14.455,15.1325,14.025,14.6975,14.455,0.24,1.68
70,31.0,2024-02-05,9:16:00,2024-02-05,15:15:00,,,,,,,15.65,-473.5,14.6975,16.05,14.6975,15.6175,14.6975,0.92,6.26
71,31.1,2024-02-05,9:26:00,2024-02-05,15:15:00,CE,74500.0,Buy,10.0,75.0,36.15,,-388.5,14.6975,16.05,14.6975,15.6175,14.6975,0.92,6.26
72,31.2,2024-02-05,9:20:00,2024-02-05,15:15:00,PE,69500.0,Buy,10.0,99.5,91.0,,-85.0,14.6975,16.05,14.6975,15.6175,14.6975,0.92,6.26
73,32.0,2024-02-08,9:16:00,2024-02-08,15:15:00,,,,,,,15.48,574.5,15.505,16.0275,15.2425,15.8275,15.505,0.32,2.08
74,32.1,2024-02-08,10:58:00,2024-02-08,15:15:00,PE,71000.0,Buy,10.0,77.6,135.05,,574.5,15.505,16.0275,15.2425,15.8275,15.505,0.32,2.08
77,34.0,2024-02-12,9:16:00,2024-02-12,15:15:00,,,,,,,16.09,88.0,15.4475,16.535,15.4475,16.0625,15.4475,0.62,3.98
78,34.1,2024-02-12,12:57:00,2024-02-12,15:15:00,PE,69200.0,Buy,10.0,74.2,83.0,,88.0,15.4475,16.535,15.4475,16.0625,15.4475,0.62,3.98
84,37.0,2024-02-20,9:16:00,2024-02-20,15:15:00,,,,,,,16.23,31.0,16.0175,16.36,14.2125,16.0725,16.0175,0.06,0.34
85,37.1,2024-02-20,12:03:00,2024-02-20,15:15:00,CE,74200.0,Buy,10.0,78.9,82.0,,31.0,16.0175,16.36,14.2125,16.0725,16.0175,0.06,0.34
91,40.0,2024-02-26,9:16:00,2024-02-26,15:15:00,,,,,,,15.77,-712.0,14.9725,15.96,13.7575,15.6,14.9725,0.63,4.19
92,40.1,2024-02-26,9:18:00,2024-02-26,15:15:00,CE,74800.0,Buy,10.0,97.05,55.35,,-417.0,14.9725,15.96,13.7575,15.6,14.9725,0.63,4.19
93,40.2,2024-02-26,11:56:00,2024-02-26,15:15:00,PE,71000.0,Buy,10.0,88.65,59.15,,-295.0,14.9725,15.96,13.7575,15.6,14.9725,0.63,4.19
94,41.0,2024-02-28,9:16:00,2024-02-28,15:15:00,,,,,,,15.84,471.0,15.7275,16.74,15.31,16.33,15.7275,0.6,3.83
95,41.1,2024-02-28,11:01:00,2024-02-28,15:15:00,PE,71300.0,Buy,10.0,76.1,123.2,,471.0,15.7275,16.74,15.31,16.33,15.7275,0.6,3.83
100,44.0,2024-03-11,9:16:00,2024-03-11,15:15:00,,,,,,,14.29,-510.5,13.6125,14.5525,13.6125,13.995,13.6125,0.38,2.81
101,44.1,2024-03-11,9:17:00,2024-03-11,15:15:00,CE,75300.0,Buy,10.0,94.05,43.0,,-510.5,13.6125,14.5525,13.6125,13.995,13.6125,0.38,2.81
104,46.0,2024-03-13,9:16:00,2024-03-13,15:15:00,,,,,,,13.67,1956.0,13.6375,15.005,13.5325,14.4325,13.6375,0.79,5.83
105,46.1,2024-03-13,9:38:00,2024-03-13,15:15:00,PE,72400.0,Buy,10.0,77.25,272.85,,1956.0,13.6375,15.005,13.5325,14.4325,13.6375,0.79,5.83
108,48.0,2024-03-15,9:16:00,2024-03-15,15:15:00,,,,,,,13.79,-1391.5,13.6225,14.3325,13.59,13.69,13.6225,0.07,0.5
109,48.1,2024-03-15,9:23:00,2024-03-15,15:15:00,CE,73400.0,Buy,10.0,68.5,0.2,,-683.0,13.6225,14.3325,13.59,13.69,13.6225,0.07,0.5
110,48.2,2024-03-15,9:36:00,2024-03-15,15:15:00,PE,72300.0,Buy,10.0,71.25,0.4,,-708.5,13.6225,14.3325,13.59,13.69,13.6225,0.07,0.5
111,49.0,2024-03-18,9:16:00,2024-03-18,15:15:00,,,,,,,14.46,-416.5,13.69,14.615,13.69,13.895,13.69,0.21,1.5
112,49.1,2024-03-18,9:41:00,2024-03-18,15:15:00,PE,70800.0,Buy,10.0,84.05,42.4,,-416.5,13.69,14.615,13.69,13.895,13.69,0.21,1.5
113,50.0,2024-03-19,9:16:00,2024-03-19,15:15:00,,,,,,,14.01,-187.0,13.895,14.445,13.875,14.1125,13.895,0.22,1.57
114,50.1,2024-03-19,10:22:00,2024-03-19,15:15:00,PE,70800.0,Buy,10.0,73.65,54.95,,-187.0,13.895,14.445,13.875,14.1125,13.895,0.22,1.57
122,54.0,2024-03-26,9:16:00,2024-03-26,15:15:00,,,,,,,12.92,-515.5,12.22,13.1025,12.085,12.82,12.22,0.6,4.91
123,54.1,2024-03-26,9:17:00,2024-03-26,15:15:00,PE,71300.0,Buy,10.0,76.8,25.25,,-515.5,12.22,13.1025,12.085,12.82,12.22,0.6,4.91
126,56.0,2024-03-28,9:16:00,2024-03-28,15:15:00,,,,,,,12.76,3500.0,12.7025,13.18,12.26,12.8325,12.7025,0.13,1.02
127,56.1,2024-03-28,9:21:00,2024-03-28,11:02:00,CE,73500.0,Buy,10.0,80.25,430.25,,3500.0,12.7025,13.18,12.26,12.8325,12.7025,0.13,1.02
132,59.0,2024-04-05,9:16:00,2024-04-05,15:15:00,,,,,,,11.43,-727.5,11.22,11.6825,11.035,11.3375,11.22,0.12,1.05
133,59.1,2024-04-05,9:52:00,2024-04-05,15:15:00,CE,74700.0,Buy,10.0,73.0,0.25,,-727.5,11.22,11.6825,11.035,11.3375,11.22,0.12,1.05
134,60.0,2024-04-08,9:16:00,2024-04-08,15:15:00,,,,,,,11.49,-301.5,11.3375,11.7425,11.1325,11.61,11.3375,0.27,2.4
135,60.1,2024-04-08,9:19:00,2024-04-08,15:15:00,PE,72400.0,Buy,10.0,55.2,25.05,,-301.5,11.3375,11.7425,11.1325,11.61,11.3375,0.27,2.4
136,61.0,2024-04-12,9:16:00,2024-04-12,15:15:00,,,,,,,11.4,3500.0,11.1075,11.605,11.1075,11.5325,11.1075,0.43,3.83
137,61.1,2024-04-12,9:42:00,2024-04-12,12:17:00,PE,74300.0,Buy,10.0,78.6,428.6,,3500.0,11.1075,11.605,11.1075,11.5325,11.1075,0.43,3.83
138,62.0,2024-04-15,9:16:00,2024-04-15,15:15:00,,,,,,,12.37,339.0,11.5325,12.7375,11.3075,12.4675,11.5325,0.93,8.11
139,62.1,2024-04-15,9:17:00,2024-04-15,15:15:00,PE,72300.0,Buy,10.0,101.95,135.85,,339.0,11.5325,12.7375,11.3075,12.4675,11.5325,0.93,8.11
140,63.0,2024-04-18,9:16:00,2024-04-18,15:15:00,,,,,,,12.57,1401.0,12.615,13.3875,12.0275,13.04,12.615,0.42,3.37
141,63.1,2024-04-18,9:44:00,2024-04-18,15:15:00,PE,72200.0,Buy,10.0,67.45,207.55,,1401.0,12.615,13.3875,12.0275,13.04,12.615,0.42,3.37
142,64.0,2024-04-19,9:16:00,2024-04-19,13:54:00,,,,,,,14.2,2768.0,13.04,14.4125,11.915,13.4575,13.04,0.42,3.2
143,64.1,2024-04-19,9:24:00,2024-04-19,13:54:00,CE,72600.0,Buy,10.0,73.5,423.5,,3500.0,13.04,14.4125,11.915,13.4575,13.04,0.42,3.2
144,64.2,2024-04-19,9:22:00,2024-04-19,13:54:00,PE,70900.0,Buy,10.0,76.5,3.3,,-732.0,13.04,14.4125,11.915,13.4575,13.04,0.42,3.2
145,65.0,2024-04-25,9:16:00,2024-04-25,15:15:00,,,,,,,10.52,1614.5,10.275,11.4575,10.26,10.73,10.275,0.46,4.43
146,65.1,2024-04-25,9:35:00,2024-04-25,15:15:00,CE,74400.0,Buy,10.0,71.55,233.0,,1614.5,10.275,11.4575,10.26,10.73,10.275,0.46,4.43
147,66.0,2024-04-26,9:16:00,2024-04-26,15:15:00,,,,,,,10.99,895.0,10.73,11.315,10.5875,10.925,10.73,0.2,1.82
148,66.1,2024-04-26,9:27:00,2024-04-26,15:15:00,PE,73900.0,Buy,10.0,81.15,170.65,,895.0,10.73,11.315,10.5875,10.925,10.73,0.2,1.82
149,67.0,2024-04-30,9:16:00,2024-04-30,15:15:00,,,,,,,12.53,-452.0,12.235,13.2125,12.235,12.87,12.235,0.63,5.19
150,67.1,2024-04-30,9:51:00,2024-04-30,15:15:00,CE,75900.0,Buy,10.0,80.25,35.05,,-452.0,12.235,13.2125,12.235,12.87,12.235,0.63,5.19
151,68.0,2024-05-02,9:16:00,2024-05-02,15:15:00,,,,,,,13.87,-548.0,12.87,13.9475,12.87,13.445,12.87,0.58,4.47
152,68.1,2024-05-02,9:47:00,2024-05-02,15:15:00,CE,75500.0,Buy,10.0,72.7,17.9,,-548.0,12.87,13.9475,12.87,13.445,12.87,0.58,4.47
153,69.0,2024-05-03,9:16:00,2024-05-03,10:41:00,,,,,,,13.8,2862.5,13.445,15.3125,13.445,14.6175,13.445,1.17,8.72
154,69.1,2024-05-03,9:23:00,2024-05-03,10:41:00,CE,75400.0,Buy,10.0,82.0,18.25,,-637.5,13.445,15.3125,13.445,14.6175,13.445,1.17,8.72
155,69.2,2024-05-03,9:37:00,2024-05-03,10:41:00,PE,74400.0,Buy,10.0,71.25,421.25,,3500.0,13.445,15.3125,13.445,14.6175,13.445,1.17,8.72
156,70.0,2024-05-07,9:16:00,2024-05-07,15:15:00,,,,,,,16.91,63.5,16.6,17.6425,16.6,17.0075,16.6,0.41,2.45
157,70.1,2024-05-07,10:01:00,2024-05-07,15:15:00,PE,72300.0,Buy,10.0,76.0,82.35,,63.5,16.6,17.6425,16.6,17.0075,16.6,0.41,2.45
158,71.0,2024-05-08,9:16:00,2024-05-08,15:15:00,,,,,,,17.37,-443.5,17.0075,18.3175,16.4625,17.08,17.0075,0.07,0.43
159,71.1,2024-05-08,12:20:00,2024-05-08,15:15:00,CE,74800.0,Buy,10.0,81.6,37.25,,-443.5,17.0075,18.3175,16.4625,17.08,17.0075,0.07,0.43
160,72.0,2024-05-09,9:16:00,2024-05-09,15:15:00,,,,,,,17.41,2213.5,17.08,19.1725,17.08,18.2,17.08,1.12,6.56
