open,high,low,close,adj close,volume,year,month,hour,day,day_name,candle_body,high_shadow,low_shadow,trend
72850.1875,73059.421875,71720.1875,71897.0,71897.0,178401280,2024,3,13,13,Wednesday,953.1875,209.234375,-176.8125,UP
72194.4921875,72869.3203125,72194.4921875,72389.984375,72389.984375,0,2024,3,14,13,Wednesday,-195.4921875,674.828125,-195.4921875,DOWN
72414.375,73103.8359375,72370.9453125,72731.75,72731.75,0,2024,3,15,13,Wednesday,-317.375,689.4609375,-360.8046875,DOWN
72722.0390625,73016.9375,72440.2421875,73016.9375,73016.9375,0,2024,3,16,13,Wednesday,-294.8984375,294.8984375,-576.6953125,DOWN
73053.9296875,73214.796875,72790.6953125,72912.8359375,72912.8359375,0,2024,3,17,13,Wednesday,141.09375,160.8671875,-122.140625,UP
72904.21875,73301.4375,72827.984375,73165.2734375,73165.2734375,0,2024,3,18,13,Wednesday,-261.0546875,397.21875,-337.2890625,DOWN
73208.8984375,73287.2734375,72869.671875,73273.96875,73273.96875,0,2024,3,19,13,Wednesday,-65.0703125,78.375,-404.296875,DOWN
73444.828125,73492.265625,73025.0703125,73194.8984375,73194.8984375,0,2024,3,20,13,Wednesday,249.9296875,47.4375,-169.828125,UP
73148.03125,73383.734375,73034.0546875,73285.5,73285.5,0,2024,3,21,13,Wednesday,-137.46875,235.703125,-251.4453125,DOWN
73300.9140625,73307.5390625,72888.21875,73009.7734375,73009.7734375,0,2024,3,22,13,Wednesday,291.140625,6.625,-121.5546875,UP
72993.5625,73140.5546875,72949.4453125,73104.5,73104.5,0,2024,3,23,13,Wednesday,-110.9375,146.9921875,-155.0546875,DOWN
73103.578125,73181.7109375,72801.21875,72874.265625,72874.265625,0,2024,3,0,14,Thursday,229.3125,78.1328125,-73.046875,UP
72866.671875,72959.8515625,72566.8515625,72959.8515625,72959.8515625,0,2024,3,1,14,Thursday,-93.1796875,93.1796875,-393.0,DOWN
72959.6328125,73222.6015625,72849.640625,73035.34375,73035.34375,0,2024,3,2,14,Thursday,-75.7109375,262.96875,-185.703125,DOWN
73052.59375,73308.1640625,73052.59375,73270.1953125,73270.1953125,0,2024,3,3,14,Thursday,-217.6015625,255.5703125,-217.6015625,DOWN
73286.3359375,73641.046875,72756.4140625,73011.5390625,73011.5390625,962396160,2024,3,4,14,Thursday,274.796875,354.7109375,-255.125,UP
73006.5,73164.1953125,72800.359375,73164.1953125,73164.1953125,303992832,2024,3,5,14,Thursday,-157.6953125,157.6953125,-363.8359375,DOWN
73173.265625,73588.3515625,73168.578125,73573.90625,73573.90625,0,2024,3,6,14,Thursday,-400.640625,415.0859375,-405.328125,DOWN
73592.609375,73749.53125,73155.71875,73224.296875,73224.296875,0,2024,3,7,14,Thursday,368.3125,156.921875,-68.578125,UP
73249.78125,73569.453125,73249.78125,73396.46875,73396.46875,0,2024,3,8,14,Thursday,-146.6875,319.671875,-146.6875,DOWN
73362.953125,73518.7578125,73212.578125,73396.21875,73396.21875,0,2024,3,9,14,Thursday,-33.265625,155.8046875,-183.640625,DOWN
73355.140625,73360.1640625,72898.0234375,72898.0234375,72898.0234375,0,2024,3,10,14,Thursday,457.1171875,5.0234375,0.0,UP
