Index,Entry Date,Entry Time,Exit Date,Exit Time,Type,Strike,B/S,Qty,Entry Price,Exit Price,Vix,P/L,Open,High,Low,Close,Prev. Close,Change,% Change
28.1,2024-01-31,11:10:00,2024-01-31,15:15:00,CE,74100.0,Buy,10.0,61.7,75.9,,142.0,16.1025,16.5325,15.8,16.0475,16.1025,-0.05,-0.34
29.0,2024-02-01,9:16:00,2024-02-01,15:15:00,,,,,,,16.05,-727.0,16.0475,16.1075,14.36,14.455,16.0475,-1.59,-9.92
29.1,2024-02-01,9:27:00,2024-02-01,15:15:00,PE,69700.0,Buy,10.0,76.65,3.95,,-727.0,16.0475,16.1075,14.36,14.455,16.0475,-1.59,-9.92
30.0,2024-02-02,9:16:00,2024-02-02,15:15:00,,,,,,,14.05,3500.0,14.455,15.1325,14.025,14.6975,14.455,0.24,1.68
30.1,2024-02-02,9:20:00,2024-02-02,11:32:00,CE,72700.0,Buy,10.0,67.5,417.5,,3500.0,14.455,15.1325,14.025,14.6975,14.455,0.24,1.68
31.0,2024-02-05,9:16:00,2024-02-05,15:15:00,,,,,,,15.65,-473.5,14.6975,16.05,14.6975,15.6175,14.6975,0.92,6.26
31.1,2024-02-05,9:26:00,2024-02-05,15:15:00,CE,74500.0,Buy,10.0,75.0,36.15,,-388.5,14.6975,16.05,14.6975,15.6175,14.6975,0.92,6.26
31.2,2024-02-05,9:20:00,2024-02-05,15:15:00,PE,69500.0,Buy,10.0,99.5,91.0,,-85.0,14.6975,16.05,14.6975,15.6175,14.6975,0.92,6.26
32.0,2024-02-08,9:16:00,2024-02-08,15:15:00,,,,,,,15.48,574.5,15.505,16.0275,15.2425,15.8275,15.505,0.32,2.08
32.1,2024-02-08,10:58:00,2024-02-08,15:15:00,PE,71000.0,Buy,10.0,77.6,135.05,,574.5,15.505,16.0275,15.2425,15.8275,15.505,0.32,2.08
33.0,2024-02-09,9:16:00,2024-02-09,15:15:00,,,,,,,16.15,-650.5,15.8275,16.3325,15.265,15.4475,15.8275,-0.38,-2.4
33.1,2024-02-09,9:22:00,2024-02-09,15:15:00,CE,72000.0,Buy,10.0,65.3,0.25,,-650.5,15.8275,16.3325,15.265,15.4475,15.8275,-0.38,-2.4
34.0,2024-02-12,9:16:00,2024-02-12,15:15:00,,,,,,,16.09,88.0,15.4475,16.535,15.4475,16.0625,15.4475,0.62,3.98
34.1,2024-02-12,12:57:00,2024-02-12,15:15:00,PE,69200.0,Buy,10.0,74.2,83.0,,88.0,15.4475,16.535,15.4475,16.0625,15.4475,0.62,3.98
