,high,low,open,close,year,month,day,hour,day_name,max,min,difference,candle_body,high_shadow,low_shadow,low-open,high-open,trend,7_EMA,15_EMA,50_EMA,200_EMA
2023-08-14,29660.25390625,29272.3515625,29566.087890625,29316.080078125,2023,8,14,16,Monday,29660.25390625,29272.3515625,387.90234375,250.0078125,94.166015625,-43.728515625,-293.736328125,94.166015625,DOWN,29392.392359335856,29392.683109288315,29372.092917070993,29434.997043312585
2023-08-14,29440.580078125,29302.181640625,29317.443359375,29413.671875,2023,8,14,20,Monday,29440.580078125,29302.181640625,138.3984375,-96.228515625,26.908203125,-15.26171875,-15.26171875,123.13671875,UP,29397.712238251894,29395.306705002276,29373.72346444076,29434.784852583107
2023-08-15,29426.26953125,29340.484375,29408.048828125,29356.494140625,2023,8,15,0,Tuesday,29426.26953125,29340.484375,85.78515625,51.5546875,18.220703125,-16.009765625,-67.564453125,18.220703125,DOWN,29387.40771384517,29390.45513445512,29373.04780468328,29434.005840523823
2023-08-15,29389.666015625,29317.3671875,29358.841796875,29370.318359375,2023,8,15,4,Tuesday,29389.666015625,29317.3671875,72.298828125,-11.4765625,19.34765625,-41.474609375,-41.474609375,30.82421875,UP,29383.135375227626,29387.938037570104,29372.940767612366,29433.37213424374
2023-08-15,29412.20703125,29320.703125,29369.9375,29328.03125,2023,8,15,8,Tuesday,29412.20703125,29320.703125,91.50390625,41.90625,42.26953125,-7.328125,-49.234375,42.26953125,DOWN,29369.359343920718,29380.44968912384,29371.17961005894,29432.323966241314
2023-08-15,29439.12109375,29286.837890625,29327.97265625,29286.837890625,2023,8,15,12,Tuesday,29439.12109375,29286.837890625,152.283203125,41.134765625,111.1484375,0.0,-41.134765625,111.1484375,DOWN,29348.72898059679,29368.748214311487,29367.872091649766,29430.876343598367
2023-08-15,29322.2265625,29088.853515625,29289.888671875,29163.693359375,2023,8,15,16,Tuesday,29322.2265625,29088.853515625,233.373046875,126.1953125,32.337890625,-74.83984375,-201.03515625,32.337890625,DOWN,29302.47007529134,29343.116357444425,29359.865082540953,29428.217806441917
2023-08-15,29212.6015625,29122.666015625,29162.580078125,29169.568359375,2023,8,15,20,Tuesday,29212.6015625,29122.666015625,89.935546875,-6.98828125,43.033203125,-39.9140625,-39.9140625,50.021484375,UP,29269.244646312254,29321.422857685746,29352.402465946212,29425.644180102947
2023-08-16,29221.9765625,29158.927734375,29169.07421875,29192.072265625,2023,8,16,0,Wednesday,29221.9765625,29158.927734375,63.048828125,-22.998046875,29.904296875,-10.146484375,-10.146484375,52.90234375,UP,29249.95155114044,29305.254033678153,29346.11500711009,29423.320081451428
2023-08-16,29195.53125,29091.048828125,29190.361328125,29167.849609375,2023,8,16,4,Wednesday,29195.53125,29091.048828125,104.482421875,22.51171875,5.169921875,-76.80078125,-99.3125,5.169921875,DOWN,29229.42606569908,29288.07848064026,29339.124207198907,29420.7780867044
2023-08-16,29180.16015625,29080.66015625,29165.796875,29128.41015625,2023,8,16,8,Wednesday,29180.16015625,29080.66015625,99.5,37.38671875,14.36328125,-47.75,-85.13671875,14.36328125,DOWN,29204.17208833681,29268.119940091477,29330.860911083266,29417.86895306804
2023-08-16,29163.119140625,29035.029296875,29126.75,29081.22265625,2023,8,16,12,Wednesday,29163.119140625,29035.029296875,128.08984375,45.52734375,36.369140625,-46.193359375,-91.720703125,36.369140625,DOWN,29173.434730315108,29244.757779611293,29321.07117559961,29414.51923867184
2023-08-16,29192.26171875,28933.7421875,29078.017578125,29104.28125,2023,8,16,16,Wednesday,29192.26171875,28933.7421875,258.51953125,-26.263671875,87.98046875,-144.275390625,-144.275390625,114.244140625,UP,29156.14636023633,29227.19821340988,29312.569609889822,29411.432293510927
