date,open,high,low,close,adj close,volume,year,month,day,day_name,minute,hour,max,min,difference,candle_body,high_shadow,low_shadow,low-open,high-open,trend
2024-03-26,69931.328125,71535.7421875,69335.609375,69987.8359375,69987.8359375,36010437368,2024,3,26,Tuesday,0,0,71535.7421875,69335.609375,2200.1328125,-56.5078125,1547.90625,-595.71875,-595.71875,1604.4140625,DOWN
2024-03-27,69991.8984375,71727.6875,68381.9296875,69455.34375,69455.34375,40827113309,2024,3,27,Wednesday,0,0,71727.6875,68381.9296875,3345.7578125,536.5546875,1735.7890625,-1073.4140625,-1609.96875,1735.7890625,UP
2024-03-28,69452.7734375,71546.0234375,68895.5078125,70744.953125,70744.953125,34374900617,2024,3,28,Thursday,0,0,71546.0234375,68895.5078125,2650.515625,-1292.1796875,801.0703125,-557.265625,-557.265625,2093.25,DOWN
2024-03-29,70744.796875,70913.09375,69076.65625,69892.828125,69892.828125,25230851763,2024,3,29,Friday,0,0,70913.09375,69076.65625,1836.4375,851.96875,168.296875,-816.171875,-1668.140625,168.296875,UP
2024-03-30,69893.4453125,70355.4921875,69601.0625,69645.3046875,69645.3046875,17130241883,2024,3,30,Saturday,0,0,70355.4921875,69601.0625,754.4296875,248.140625,462.046875,-44.2421875,-292.3828125,462.046875,UP
2024-03-31,69647.78125,71377.78125,69624.8671875,71333.6484375,71333.6484375,20050941373,2024,3,31,Sunday,0,0,71377.78125,69624.8671875,1752.9140625,-1685.8671875,44.1328125,-22.9140625,-22.9140625,1730.0,DOWN
2024-04-01,71333.484375,71342.09375,68110.6953125,69702.1484375,69702.1484375,34873527352,2024,4,1,Monday,0,0,71342.09375,68110.6953125,3231.3984375,1631.3359375,8.609375,-1591.453125,-3222.7890625,8.609375,UP
2024-04-02,69705.0234375,69708.3828125,64586.59375,65446.97265625,65446.97265625,50705240709,2024,4,2,Tuesday,0,0,69708.3828125,64586.59375,5121.7890625,4258.05078125,3.359375,-860.37890625,-5118.4296875,3.359375,UP
2024-04-03,65446.671875,66914.3203125,64559.8984375,65980.8125,65980.8125,34488018367,2024,4,3,Wednesday,0,0,66914.3203125,64559.8984375,2354.421875,-534.140625,933.5078125,-886.7734375,-886.7734375,1467.6484375,DOWN
2024-04-04,65975.6953125,69291.2578125,65113.796875,68508.84375,68508.84375,34439527442,2024,4,4,Thursday,0,0,69291.2578125,65113.796875,4177.4609375,-2533.1484375,782.4140625,-861.8984375,-861.8984375,3315.5625,DOWN
2024-04-05,68515.7578125,68725.7578125,66011.4765625,67837.640625,67837.640625,33748230056,2024,4,5,Friday,0,0,68725.7578125,66011.4765625,2714.28125,678.1171875,210.0,-1826.1640625,-2504.28125,210.0,UP
2024-04-06,67840.5703125,69629.6015625,67491.71875,68896.109375,68896.109375,19967785809,2024,4,6,Saturday,0,0,69629.6015625,67491.71875,2137.8828125,-1055.5390625,733.4921875,-348.8515625,-348.8515625,1789.03125,DOWN
2024-04-07,68897.109375,70284.4296875,68851.6328125,69362.5546875,69362.5546875,21204930369,2024,4,7,Sunday,0,0,70284.4296875,68851.6328125,1432.796875,-465.4453125,921.875,-45.4765625,-45.4765625,1387.3203125,DOWN
2024-04-08,69362.5546875,72715.359375,69064.2421875,71631.359375,71631.359375,37261432669,2024,4,8,Monday,0,0,72715.359375,69064.2421875,3651.1171875,-2268.8046875,1084.0,-298.3125,-298.3125,3352.8046875,DOWN
2024-04-09,71632.5,71742.5078125,68212.921875,69139.015625,69139.015625,36426900409,2024,4,9,Tuesday,0,0,71742.5078125,68212.921875,3529.5859375,2493.484375,110.0078125,-926.09375,-3419.578125,110.0078125,UP
2024-04-10,69140.2421875,71093.4296875,67503.5625,70587.8828125,70587.8828125,38318601774,2024,4,10,Wednesday,0,0,71093.4296875,67503.5625,3589.8671875,-1447.640625,505.546875,-1636.6796875,-1636.6796875,1953.1875,DOWN
2024-04-11,70575.734375,71256.234375,69571.8125,70060.609375,70060.609375,30153382941,2024,4,11,Thursday,0,0,71256.234375,69571.8125,1684.421875,515.125,680.5,-488.796875,-1003.921875,680.5,UP
2024-04-12,70061.3828125,71222.7421875,65254.8359375,67195.8671875,67195.8671875,44129299406,2024,4,12,Friday,0,0,71222.7421875,65254.8359375,5967.90625,2865.515625,1161.359375,-1941.03125,-4806.546875,1161.359375,UP
2024-04-13,67188.375,67931.4296875,60919.10546875,63821.47265625,63821.47265625,52869738185,2024,4,13,Saturday,0,0,67931.4296875,60919.10546875,7012.32421875,3366.90234375,743.0546875,-2902.3671875,-6269.26953125,743.0546875,UP
2024-04-14,63836.23046875,65824.4296875,62205.8515625,65738.7265625,65738.7265625,49084320047,2024,4,14,Sunday,0,0,65824.4296875,62205.8515625,3618.578125,-1902.49609375,85.703125,-1630.37890625,-1630.37890625,1988.19921875,DOWN
