,Date,Open,High,Low,Close,Prev. Close,Change,% Change,open %change,low %change,high %change
166,03-JUL-2024,13.64,13.715,12.87,13.205,13.64,-0.44,-3.19,-1.3738250180766414,2.295733911785978,-2.6934201012292025
167,04-JUL-2024,13.205,13.205,12.2575,12.855,13.205,-0.35,-2.65,-3.1891495601173054,2.456011730205285,-3.7390029325513177
168,05-JUL-2024,12.855,12.99,12.08,12.695,12.855,-0.16,-1.24,-2.6505111700113564,4.5248012116622505,-2.6505111700113564
169,08-JUL-2024,12.695,13.7575,12.695,13.6,12.695,0.9,7.13,-1.2446518864255165,4.784130688448076,-2.2948269155970435
170,09-JUL-2024,13.6,14.4025,12.79,14.28,13.6,0.68,5.0,7.128790862544304,7.128790862544304,-1.2406459235919705
171,10-JUL-2024,14.28,14.915,13.4075,14.4325,14.28,0.15,1.07,4.999999999999998,10.955882352941178,-0.9007352941176507
172,11-JUL-2024,14.4325,14.4325,12.68,13.995,14.4325,-0.44,-3.03,1.0679271708683462,7.177871148459373,-3.3788515406162465
173,12-JUL-2024,13.995,14.0525,13.2225,13.725,13.995,-0.27,-1.93,-3.031352849471679,9.111380564697729,-3.031352849471679
174,15-JUL-2024,13.725,14.34,13.5675,14.1875,13.725,0.46,3.37,-1.9292604501607686,3.5905680600214334,-2.3401214719542733
175,16-JUL-2024,14.1875,14.5875,13.8025,14.2225,14.1875,0.04,0.25,3.3697632058287823,4.517304189435331,-1.11111111111111
176,18-JUL-2024,14.2225,14.71,13.75,14.51,14.2225,0.29,2.02,0.24669603524229175,2.9603524229074885,-2.572687224669605
177,19-JUL-2024,14.51,14.965,12.7375,14.825,14.51,0.31,2.17,2.0214448936544183,5.34364563192125,-1.4062225347161263
178,19-JUL-2024,14.51,14.965,12.7375,14.825,14.51,0.31,2.17,0.0,12.215713301171599,-3.1357684355616824
179,22-JUL-2024,14.825,15.625,13.115,15.4375,14.825,0.61,4.13,2.170916609235007,14.386629910406606,-0.9648518263266752
180,23-JUL-2024,15.4375,16.065,12.5925,12.7475,15.4375,-2.69,-17.43,4.131534569983142,15.66610455311973,-1.2647554806070826
181,24-JUL-2024,12.7475,14.0375,11.6175,11.7625,12.7475,-0.99,-7.73,-17.425101214574894,1.0040485829959587,-21.489878542510127
182,25-JUL-2024,11.7625,13.2175,11.275,12.6175,11.7625,0.86,7.27,-7.727005295155923,1.1374779368503594,-17.846636595410867
183,26-JUL-2024,12.6175,13.135,11.9775,12.2475,12.6175,-0.37,-2.93,7.268862911795966,11.413390010626987,-5.100956429330497
184,29-JUL-2024,12.2475,13.255,12.0275,12.945,12.2475,0.7,5.7,-2.9324351099663106,2.1398850802457012,-7.0338815137705515
185,30-JUL-2024,12.945,13.26,11.715,12.88,12.945,-0.06,-0.5,5.695039804041639,7.491324760155137,-2.5311288017962887
186,31-JUL-2024,12.88,13.3875,11.6225,13.25,12.88,0.37,2.87,-0.5021243723445307,8.999613750482819,-2.935496330629579
187,01-AUG-2024,13.25,13.305,11.9825,12.93,13.25,-0.32,-2.42,2.8726708074534097,12.635869565217387,-1.0675465838509262
188,02-AUG-2024,12.93,14.51,11.6925,14.32,12.93,1.39,10.75,-2.4150943396226436,7.150943396226414,-2.8301886792452833
189,05-AUG-2024,14.32,23.1525,13.9075,20.3675,14.32,6.05,42.23,10.750193348801242,20.320959010054136,-1.469450889404482
190,06-AUG-2024,20.3675,20.3675,14.8675,18.7425,20.3675,-1.63,-7.98,42.23114525139665,45.111731843575406,-19.44832402234637
191,07-AUG-2024,18.7425,18.7425,13.7225,16.17,18.7425,-2.57,-13.73,-7.978396955934699,19.025408125690436,-7.978396955934699
192,08-AUG-2024,16.17,17.23,14.38,16.6025,16.17,0.43,2.67,-13.725490196078422,13.058556756035756,-13.725490196078422
193,09-AUG-2024,16.6025,16.6025,13.4325,15.335,16.6025,-1.27,-7.63,2.6747062461348015,13.744588744588734,-3.8806431663574594
194,12-AUG-2024,15.335,16.5575,13.395,15.8675,15.335,0.53,3.47,-7.634392410781499,11.459117602770677,-7.634392410781499
195,13-AUG-2024,15.8675,16.375,14.2225,16.1675,15.8675,0.3,1.89,3.4724486468862006,16.12324747310075,-4.499510922725799
196,14-AUG-2024,16.1675,16.22,13.8225,15.435,16.1675,-0.73,-4.53,1.890657003308654,12.25775957145108,-1.3077044272884801
197,16-AUG-2024,15.435,15.435,12.95,14.4025,15.435,-1.03,-6.69,-4.53069429410855,9.973712695221899,-4.855419823720417
