Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
41.2,2024-05-07,Tuesday,11:18:00,111.45,10,PE,72300.0,Buy,2024-05-07,Tuesday,15:15:00,82.35,-291.0000000000001,-26.110363391655458,2024-05-10,,,Exit Condition Met For Trade
42,2024-05-09,,09:16:00,73402.46,,,,,2024-05-09,,15:15:00,72370.61,1884.5,,,1884.5,-265.54999999999995,Exit Condition Met For Trade
42.2,2024-05-09,Thursday,09:30:00,103.4,10,PE,72500.0,Buy,2024-05-09,Thursday,15:15:00,291.85,1884.5000000000002,182.25338491295938,2024-05-10,,,Exit Condition Met For Trade
43,2024-05-13,,09:16:00,72443.94,,,,,2024-05-13,,15:15:00,72757.25,-616.5,,,574.95,-725.55,Exit Condition Met For Trade
43.2,2024-05-13,Monday,09:32:00,121.0,10,PE,70800.0,Buy,2024-05-13,Monday,15:15:00,59.35,-616.5,-50.950413223140494,2024-05-17,,,Exit Condition Met For Trade
44,2024-05-16,,09:16:00,73307.99,,,,,2024-05-16,,15:15:00,73644.97,-750.0,,,837.95,-750.05,Exit Condition Met For Trade
44.2,2024-05-16,Thursday,10:25:00,112.2,10,PE,72300.0,Buy,2024-05-16,Thursday,14:53:00,37.2,-750.0,-66.84491978609626,2024-05-17,,,Stop Loss Hit
45,2024-05-17,,09:16:00,73592.59,,,,,2024-05-17,,15:15:00,73941.14,-750.0,,,159.45000000000005,-750.05,Exit Condition Met For Trade
45.1,2024-05-17,Friday,10:37:00,104.5,10,CE,74300.0,Buy,2024-05-17,Friday,12:46:00,29.5,-750.0,-71.77033492822966,2024-05-17,,,Stop Loss Hit
46,2024-05-23,,09:16:00,74199.12,,,,,2024-05-23,,15:15:00,75446.66,3063.5,,,3117.95,-395.04999999999995,Exit Condition Met For Trade
46.1,2024-05-23,Thursday,09:44:00,98.8,10,CE,75200.0,Buy,2024-05-23,Thursday,15:15:00,405.15,3063.4999999999995,310.07085020242914,2024-05-24,,,Exit Condition Met For Trade
47,2024-05-30,,09:16:00,74345.68,,,,,2024-05-30,,15:15:00,73836.21,-170.5,,,165.95000000000005,-693.55,Exit Condition Met For Trade
47.2,2024-05-30,Thursday,09:52:00,104.85,10,PE,73100.0,Buy,2024-05-30,Thursday,15:15:00,87.8,-170.49999999999997,-16.261325703385786,2024-05-31,,,Exit Condition Met For Trade
48,2024-06-04,,09:16:00,74878.32,,,,,2024-06-04,,15:15:00,72259.99,3500.0,,,3500.0,-0.0500000000001819,Exit Condition Met For Trade
48.2,2024-06-04,Tuesday,09:23:00,594.55,10,PE,73500.0,Buy,2024-06-04,Tuesday,09:24:00,944.55,3500.0,58.86805146749643,2024-06-07,,,Target Hit
49,2024-06-07,,09:16:00,75008.01,,,,,2024-06-07,,15:15:00,76718.05,3500.0,,,3500.0,-0.05,Exit Condition Met For Trade
49.1,2024-06-07,Friday,09:22:00,114.3,10,CE,75900.0,Buy,2024-06-07,Friday,11:36:00,464.3,3500.0,306.2117235345582,2024-06-07,,,Target Hit
50,2024-06-14,,09:16:00,76907.26,,,,,2024-06-14,,15:15:00,77007.81,-750.0,,,260.95000000000005,-750.05,Exit Condition Met For Trade
50.2,2024-06-14,Friday,09:23:00,117.8,10,PE,76400.0,Buy,2024-06-14,Friday,09:58:00,42.8,-750.0,-63.66723259762309,2024-06-14,,,Stop Loss Hit
51,2024-06-19,,09:16:00,77401.29,,,,,2024-06-19,,15:15:00,77319.32,-600.0,,,321.45000000000005,-600.0,Exit Condition Met For Trade
51.1,2024-06-19,Wednesday,14:34:00,103.95,10,CE,78500.0,Buy,2024-06-19,Wednesday,15:15:00,43.95,-600.0,-57.72005772005772,2024-06-21,,,Exit Condition Met For Trade
52,2024-06-21,,09:16:00,77636.64,,,,,2024-06-21,,15:15:00,77140.84,-750.0,,,0,-750.05,Exit Condition Met For Trade
52.2,2024-06-21,Friday,10:49:00,117.5,10,PE,76800.0,Buy,2024-06-21,Friday,11:38:00,42.5,-750.0,-63.829787234042556,2024-06-21,,,Stop Loss Hit
53,2024-06-25,,09:16:00,77517.42,,,,,2024-06-25,,15:15:00,78083.92,-55.5,,,79.45000000000005,-237.04999999999995,Exit Condition Met For Trade
53.1,2024-06-25,Tuesday,13:19:00,104.5,10,CE,78900.0,Buy,2024-06-25,Tuesday,15:15:00,98.95,-55.49999999999997,-5.311004784688993,2024-06-28,,,Exit Condition Met For Trade
54,2024-06-26,,09:16:00,78013.11,,,,,2024-06-26,,15:15:00,78700.85,290.5,,,510.95000000000005,-76.04999999999995,Exit Condition Met For Trade
54.1,2024-06-26,Wednesday,11:00:00,105.6,10,CE,79300.0,Buy,2024-06-26,Wednesday,15:15:00,134.65,290.5000000000001,27.509469696969706,2024-06-28,,,Exit Condition Met For Trade
55,2024-06-27,,09:16:00,78557.14,,,,,2024-06-27,,15:15:00,79249.39,-750.0,,,110.95000000000005,-750.05,Exit Condition Met For Trade
55.1,2024-06-27,Thursday,12:13:00,108.7,10,CE,79800.0,Buy,2024-06-27,Thursday,14:33:00,33.7,-750.0,-68.99724011039558,2024-06-28,,,Stop Loss Hit
56,2024-07-10,,09:16:00,80273.79,,,,,2024-07-10,,15:15:00,79950.74,-353.0,,,919.45,-396.54999999999995,Exit Condition Met For Trade
