datetime,open,high,low,close,adj close,volume,year,month,hour,day,day_name,minute,max,min,difference,candle_body,high_shadow,low_shadow,trend
2024-08-09 12:00:00,24371.0,24374.900390625,24349.349609375,24352.75,24352.75,0,2024,8,12,9,Friday,0,24374.900390625,24349.349609375,25.55078125,18.25,3.900390625,3.400390625,UP
2024-08-09 12:15:00,24351.75,24361.05078125,24344.69921875,24355.150390625,24355.150390625,0,2024,8,12,9,Friday,15,24361.05078125,24344.69921875,16.3515625,-3.400390625,9.30078125,10.451171875,DOWN
2024-08-09 12:30:00,24354.650390625,24371.150390625,24353.05078125,24354.599609375,24354.599609375,0,2024,8,12,9,Friday,30,24371.150390625,24353.05078125,18.099609375,0.05078125,16.5,1.548828125,UP
2024-08-09 12:45:00,24354.349609375,24356.80078125,24338.69921875,24344.55078125,24344.55078125,0,2024,8,12,9,Friday,45,24356.80078125,24338.69921875,18.1015625,9.798828125,2.451171875,5.8515625,UP
2024-08-09 13:00:00,24343.849609375,24355.94921875,24338.099609375,24352.099609375,24352.099609375,0,2024,8,13,9,Friday,0,24355.94921875,24338.099609375,17.849609375,-8.25,12.099609375,14.0,DOWN
2024-08-09 13:15:00,24351.400390625,24374.900390625,24348.150390625,24372.75,24372.75,0,2024,8,13,9,Friday,15,24374.900390625,24348.150390625,26.75,-21.349609375,23.5,24.599609375,DOWN
2024-08-09 13:30:00,24371.099609375,24374.05078125,24350.25,24361.099609375,24361.099609375,0,2024,8,13,9,Friday,30,24374.05078125,24350.25,23.80078125,10.0,2.951171875,10.849609375,UP
2024-08-09 13:45:00,24361.099609375,24370.5,24357.05078125,24364.0,24364.0,0,2024,8,13,9,Friday,45,24370.5,24357.05078125,13.44921875,-2.900390625,9.400390625,6.94921875,DOWN
2024-08-09 14:00:00,24364.75,24389.599609375,24364.75,24385.44921875,24385.44921875,0,2024,8,14,9,Friday,0,24389.599609375,24364.75,24.849609375,-20.69921875,24.849609375,20.69921875,DOWN
2024-08-09 14:15:00,24386.44921875,24389.25,24365.099609375,24365.650390625,24365.650390625,0,2024,8,14,9,Friday,15,24389.25,24365.099609375,24.150390625,20.798828125,2.80078125,0.55078125,UP
2024-08-09 14:30:00,24365.400390625,24374.400390625,24353.849609375,24365.75,24365.75,0,2024,8,14,9,Friday,30,24374.400390625,24353.849609375,20.55078125,-0.349609375,9.0,11.900390625,DOWN
2024-08-09 14:45:00,24366.349609375,24377.400390625,24360.19921875,24375.30078125,24375.30078125,0,2024,8,14,9,Friday,45,24377.400390625,24360.19921875,17.201171875,-8.951171875,11.05078125,15.1015625,DOWN
2024-08-09 15:00:00,24377.400390625,24381.80078125,24363.150390625,24371.849609375,24371.849609375,0,2024,8,15,9,Friday,0,24381.80078125,24363.150390625,18.650390625,5.55078125,4.400390625,8.69921875,UP
2024-08-09 15:15:00,24371.05078125,24374.400390625,24356.94921875,24363.75,24363.75,0,2024,8,15,9,Friday,15,24374.400390625,24356.94921875,17.451171875,7.30078125,3.349609375,6.80078125,UP
2024-08-12 09:15:00,24317.900390625,24322.55078125,24260.75,24274.69921875,24274.69921875,0,2024,8,9,12,Monday,15,24322.55078125,24260.75,61.80078125,43.201171875,4.650390625,13.94921875,UP
