Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
124.2,2024-09-10,Tuesday,09:55:00,70.65,10,PE,80300.0,Buy,2024-09-10,Tuesday,15:15:00,28.5,-421.50000000000006,-59.66029723991508,2024-09-13,,,Exit Condition Met For Trade
125,2024-09-11,,09:16:00,81843.15,,,,,2024-09-11,,15:15:00,81461.63,-222.0,,,343.95000000000005,-339.54999999999995,Exit Condition Met For Trade
125.1,2024-09-11,Wednesday,09:42:00,66.05,10,CE,82700.0,Buy,2024-09-11,Wednesday,15:15:00,35.75,-303.0,-45.87433762301286,2024-09-13,,,Exit Condition Met For Trade
125.2,2024-09-11,Wednesday,14:16:00,71.0,10,PE,80600.0,Buy,2024-09-11,Wednesday,15:15:00,79.1,80.99999999999994,11.408450704225345,2024-09-13,,,Exit Condition Met For Trade
126,2024-09-12,,09:16:00,81849.53,,,,,2024-09-12,,15:03:00,83009.08,3012.5,,,3012.5,-500.54999999999995,Square Off All Legs due to Target Profit
126.1,2024-09-12,Thursday,14:06:00,73.2,10,CE,82700.0,Buy,2024-09-12,Thursday,15:03:00,423.2,3500.0,478.1420765027322,2024-09-13,,,Target Hit
126.2,2024-09-12,Thursday,10:00:00,70.3,10,PE,81000.0,Buy,2024-09-12,Thursday,15:03:00,21.55,-487.5,-69.34566145092461,2024-09-13,,,Square Off All Legs due to Target Profit
127,2024-09-18,,09:16:00,82987.97,,,,,2024-09-18,,15:15:00,82983.57,335.0,,,570.95,-49.549999999999955,Exit Condition Met For Trade
127.1,2024-09-18,Wednesday,09:43:00,64.9,10,CE,84300.0,Buy,2024-09-18,Wednesday,15:15:00,87.35,224.4999999999999,34.59167950693373,2024-09-20,,,Exit Condition Met For Trade
127.2,2024-09-18,Wednesday,13:05:00,73.9,10,PE,81500.0,Buy,2024-09-18,Wednesday,15:15:00,84.95,110.49999999999997,14.952638700947222,2024-09-20,,,Exit Condition Met For Trade
128,2024-09-19,,09:16:00,83485.66,,,,,2024-09-19,,15:15:00,83203.59,-498.0,,,184.45000000000005,-498.0,Exit Condition Met For Trade
128.2,2024-09-19,Thursday,11:32:00,75.5,10,PE,82300.0,Buy,2024-09-19,Thursday,15:15:00,25.7,-498.0,-65.96026490066225,2024-09-20,,,Exit Condition Met For Trade
129,2024-09-20,,09:16:00,83556.42,,,,,2024-09-20,,12:42:00,84157.51,788.0,,,2129.45,-477.54999999999995,Square Off All Legs due to Stop Loss
129.1,2024-09-20,Friday,09:52:00,84.4,10,CE,84100.0,Buy,2024-09-20,Friday,12:42:00,238.2,1537.9999999999998,182.22748815165875,2024-09-20,,,Square Off All Legs due to Stop Loss
129.2,2024-09-20,Friday,09:20:00,79.0,10,PE,82900.0,Buy,2024-09-20,Friday,12:42:00,4.0,-750.0,-94.9367088607595,2024-09-20,,,Stop Loss Hit
130,2024-09-23,,09:16:00,84755.62,,,,,2024-09-23,,15:15:00,84906.06,-319.0,,,39.950000000000045,-341.04999999999995,Exit Condition Met For Trade
130.1,2024-09-23,Monday,09:17:00,87.9,10,CE,86500.0,Buy,2024-09-23,Monday,15:15:00,56.0,-319.00000000000006,-36.29124004550626,2024-09-27,,,Exit Condition Met For Trade
131,2024-09-24,,09:16:00,84787.4,,,,,2024-09-24,,15:15:00,84914.98,-478.0,,,0,-478.0,Exit Condition Met For Trade
131.2,2024-09-24,Tuesday,09:17:00,73.45,10,PE,82100.0,Buy,2024-09-24,Tuesday,15:15:00,25.65,-478.00000000000006,-65.0782845473111,2024-09-27,,,Exit Condition Met For Trade
132,2024-09-26,,09:16:00,85181.58,,,,,2024-09-26,,15:15:00,85774.54,300.5,,,923.45,-64.54999999999995,Exit Condition Met For Trade
132.1,2024-09-26,Thursday,12:21:00,74.0,10,CE,86300.0,Buy,2024-09-26,Thursday,15:15:00,104.05,300.5,40.608108108108105,2024-09-27,,,Exit Condition Met For Trade
133,2024-09-30,,09:16:00,85248.62,,,,,2024-09-30,,15:15:00,84321.89,300.0,,,559.95,-40.549999999999955,Exit Condition Met For Trade
133.2,2024-09-30,Monday,09:49:00,60.0,10,PE,83000.0,Buy,2024-09-30,Monday,15:15:00,90.0,300.0,50.0,2024-10-04,,,Exit Condition Met For Trade
134,2024-10-01,,09:16:00,84590.31,,,,,2024-10-01,,15:15:00,84258.1,-314.0,,,313.95000000000005,-412.04999999999995,Exit Condition Met For Trade
134.2,2024-10-01,Tuesday,10:20:00,80.85,10,PE,83000.0,Buy,2024-10-01,Tuesday,15:15:00,49.45,-313.9999999999999,-38.8373531230674,2024-10-04,,,Exit Condition Met For Trade
135,2024-10-03,,09:16:00,83424.2,,,,,2024-10-03,,15:15:00,82522.64,-955.5,,,0,-974.55,Exit Condition Met For Trade
135.1,2024-10-03,Thursday,09:30:00,82.35,10,CE,84700.0,Buy,2024-10-03,Thursday,15:15:00,8.2,-741.4999999999999,-90.04250151791135,2024-10-04,,,Exit Condition Met For Trade
135.2,2024-10-03,Thursday,09:17:00,82.3,10,PE,81600.0,Buy,2024-10-03,Thursday,15:15:00,60.9,-214.0,-26.002430133657352,2024-10-04,,,Exit Condition Met For Trade
136,2024-10-04,,09:16:00,82563.36,,,,,2024-10-04,,15:15:00,81745.78,-1443.5,,,2873.45,-1444.05,Exit Condition Met For Trade
136.1,2024-10-04,Friday,10:45:00,73.35,10,CE,83300.0,Buy,2024-10-04,Friday,15:15:00,0.25,-731.0,-99.6591683708248,2024-10-04,,,Exit Condition Met For Trade
136.2,2024-10-04,Friday,09:17:00,71.6,10,PE,81600.0,Buy,2024-10-04,Friday,15:15:00,0.35,-712.5,-99.51117318435755,2024-10-04,,,Exit Condition Met For Trade
137,2024-10-14,,09:16:00,81631.97,,,,,2024-10-14,,15:15:00,81939.06,-424.5,,,0,-465.54999999999995,Exit Condition Met For Trade
137.2,2024-10-14,Monday,09:18:00,66.35,10,PE,79500.0,Buy,2024-10-14,Monday,15:15:00,23.9,-424.49999999999994,-63.97889977392615,2024-10-18,,,Exit Condition Met For Trade
138,2024-10-15,,09:16:00,82192.12,,,,,2024-10-15,,15:15:00,81799.7,8.0,,,654.95,-90.04999999999995,Exit Condition Met For Trade
138.2,2024-10-15,Tuesday,09:50:00,81.5,10,PE,80700.0,Buy,2024-10-15,Tuesday,15:15:00,82.3,7.999999999999972,0.9815950920245364,2024-10-18,,,Exit Condition Met For Trade
139,2024-10-16,,09:16:00,81621.18,,,,,2024-10-16,,15:15:00,81496.59,-466.5,,,0,-474.04999999999995,Exit Condition Met For Trade
139.1,2024-10-16,Wednesday,09:50:00,73.5,10,CE,83000.0,Buy,2024-10-16,Wednesday,15:15:00,26.85,-466.5,-63.46938775510204,2024-10-18,,,Exit Condition Met For Trade
140,2024-10-17,,09:16:00,81733.95,,,,,2024-10-17,,15:15:00,81016.1,188.0,,,836.45,-156.54999999999995,Exit Condition Met For Trade
